Lately | ['NAV'] | spotify:track:13Lfif6pU8G1Ci80oIvQky
Smoking & Thinking | ['Lil Durk'] | spotify:track:1OybHaoLAhB6biFWfaCVDw
What Happened To Virgil (feat. Gunna) | ['Lil Durk', 'Gunna'] | spotify:track:7ohROa13QK43JBRqfCmz4P
No More Sad Songs | ['Little Mix', 'Machine Gun Kelly'] | spotify:track:5ZnJsoJGkQ5K15W7Rcr5JO
End Of The Road | ['Machine Gun Kelly', 'blackbear'] | spotify:track:1lHyxaX6V9ewCD1d0tUvG7
Bad Things (with Camila Cabello) | ['Machine Gun Kelly', 'Camila Cabello'] | spotify:track:1PSBzsahR2AKwLJgx8ehBj
acting like that (feat. Machine Gun Kelly) | ['YUNGBLUD', 'Machine Gun Kelly'] | spotify:track:6PxNpy8jOjyZ8aGCD58LpW
sid & nancy | ['Machine Gun Kelly'] | spotify:track:3lzVf5nFSdH0RYivtf9V6C
emo girl (feat. WILLOW) | ['Machine Gun Kelly', 'WILLOW'] | spotify:track:3tBZ60j1jQ7NJm8IjelyQe
Change | ['Adzmilli'] | spotify:track:0VxPoNX9h5HpsEgSNcHCmG
No Drama | ['Bankrol Hayden'] | spotify:track:1YmyHCxLKjLBBNQU51yQOh
At Me | ['KEVZOR'] | spotify:track:2x3JA1cmr6UxGmt832Nr8P
Rover (feat. Lil Tecca) | ['S1mba', 'Lil Tecca'] | spotify:track:6E6RS1uUDxxYiWMmEKrxnh
Lose | ['KSI', 'Lil Wayne'] | spotify:track:750vtNtNiQVl80E4baoJjd
Green Eyes | ['Lil Noodle'] | spotify:track:5FgHrdvcYXSMaYdhkLoDyt
Malibu | ['Lucus'] | spotify:track:6da7v7nD04Amev9yVzB6Mr
PDAPC | ['Reflex Soundz'] | spotify:track:5j2MTLJ5GzjfdyctrtZjYS
Youngblood | ['5 Seconds of Summer'] | spotify:track:2iUXsYOEPhVqEBwsqP70rE
Latest Trends | ['A1 x J1'] | spotify:track:7pnQ23WgZca9jEfMts9qsR
See You Again (feat. Charlie Puth) | ['Wiz Khalifa', 'Charlie Puth'] | spotify:track:2JzZzZUQj3Qff7wapcbKjc
Relationship (feat. Future) | ['Young Thug', 'Future'] | spotify:track:25oOaleife6E2MIKmFkPvg
in the dark | ['Bring Me The Horizon'] | spotify:track:4swVflM7KtMxzfHBWqPv9S
Parasite Eve | ['Bring Me The Horizon'] | spotify:track:36xBFaVGjqm7le8CTHytUj
Bad Habits (feat. Bring Me The Horizon) | ['Ed Sheeran', 'Bring Me The Horizon'] | spotify:track:5L9Ptz7hUfTavjjdRRiNXR
Believer | ['Imagine Dragons'] | spotify:track:0pqnGHJpmpxLKifKRmU6WP
The Bees Knees | ['Juice WRLD'] | spotify:track:1n4eqIG0RRUCuPT4vnsVlv
Long Gone | ['Juice WRLD'] | spotify:track:17Cs25j5Ui6X6W4Hk1kAyC
Let Me Down Slowly | ['Alec Benjamin'] | spotify:track:2qxmye6gAegTMjLKEBoR3d
Young Dumb & Broke | ['Khalid'] | spotify:track:5Z3GHaZ6ec9bsiI5BenrbY
LMK | ['Lil Xxel'] | spotify:track:4s0hDz7zGgZUav9EvzyLsB
Savage Remix (feat. Beyoncé) | ['Megan Thee Stallion', 'Beyoncé'] | spotify:track:5v4GgrXPMghOnBBLmveLac
Savage | ['Megan Thee Stallion'] | spotify:track:55CHeLEfn5iJ0IIkgaa4si
Fact (feat. Lil Uzi Vert) | ['Ghostluvme', 'Lil Uzi Vert'] | spotify:track:5ht9obvnnWeW4eoRtPAoQD
London Scammer | ['Tankz', 'Tarm'] | spotify:track:5SZFXibI0DLB9jhfS5YYqn
GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy) | ['DJ Khaled', 'Rick Ross', 'Lil Wayne', 'JAY-Z', 'John Legend', 'Fridayy'] | spotify:track:2sOj9vyd6yiss9W1IK6chU
Smooth Criminal - 2012 Remaster | ['Michael Jackson'] | spotify:track:2bCQHF9gdG5BNDVuEIEnNk
Globe Cypher | ['Connor Price', 'Killa', 'SIRI', 'Bens', 'Kazuo', 'K.Keed', 'Zensery', 'Lucca DL'] | spotify:track:3wzAF00pXS1NCYmUWjYnKH
Imperfections (Interlude) | ['Pop Smoke'] | spotify:track:42er1na9BHF1ERol51wg8M
On My Body | ['UG Vavy'] | spotify:track:4Yw4jt203RVQcNOlI1omR5
Maudit | ['Kaza'] | spotify:track:4v5sT2VAptWN7rUPGC5OBw
Sucka Or Sum | ['Rae Sremmurd'] | spotify:track:0PbASpqjx9lyptkeTnWZlA
This Is a Work of Art (Sketchy) | ['Dubskie'] | spotify:track:29ylwFBEe64lYv6P9Gucc8
Lose Control | ['MEDUZA', 'Becky Hill', 'Goodboys'] | spotify:track:7CHi4DtfK4heMlQaudCuHK
Bad Decisions (with BTS & Snoop Dogg) | ['benny blanco', 'BTS', 'Snoop Dogg'] | spotify:track:0xzI1KAr0Yd9tv8jlIk3sn
6 For 6 | ['Central Cee'] | spotify:track:1tLV0GD0WXQ1Z8BKOQscti
Hmm | ['G4 Boyz'] | spotify:track:0h4uJm0qGzZOag9LhZbwAf
Foolish Boys | ['G4 Boyz'] | spotify:track:0XF8zwJGnUbLrVJOGY91O5
Local Scammer | ['G4 Boyz', 'G4choppa'] | spotify:track:01aL3yOiD4inpdzzc0yIfC
Local Scammer - Remix | ['G4 Boyz', 'Chief Keef', 'G4choppa'] | spotify:track:6gl1YyBV4HvVApQCnRs1UN
Man On The Moon | ['Alan Walker', 'Benjamin Ingrosso'] | spotify:track:0zqBZqm5czQ3A4EoSdKFHj
Running Out Of Roses | ['Alan Walker', 'Jamie Miller'] | spotify:track:1KR9TkyhxqqpOk45WAm7bM
In The Dark | ['Ava Max'] | spotify:track:6xd51Blf4S1T98r9iykAER
Been Thinking | ['Tyla'] | spotify:track:2TDovGBTIpZ6zXKeyhsFzz
KNIGHT CRAWLER (feat. Juice WRLD) | ['Trippie Redd', 'Juice WRLD'] | spotify:track:0kblCEAPaGts6OMiUeJ6wj
Drop | ['Connor Price', 'Zensery'] | spotify:track:5iscY6uoraOqqKurX7G8S9
Unforgettable | ['French Montana', 'Swae Lee'] | spotify:track:3B54sVLJ402zGa6Xm4YGNe
Shaye | ['Magixx'] | spotify:track:0hFgFEdlRzbWGZGEHiCwPy
Asiwaju | ['Ruger'] | spotify:track:7ErtOGQ9DwyQa3lwP77j4u
Soweto | ['Victony', 'Tempoe'] | spotify:track:3IQT2MM49GkXfHF9eemaw5
Cold (feat. Tory Lanez) | ['French Montana', 'Tory Lanez'] | spotify:track:5wMh9hhqKQ4JfqLuvqAC7s
Boy Back (feat. NAV) | ['Young Thug', 'NAV'] | spotify:track:369g3Kv6MXsl0wn7PNtWvO
Cheap Thrills | ['Sia'] | spotify:track:27SdWb2rFzO6GWiYDBTD9j
All of Me | ['John Legend'] | spotify:track:3U4isOIWM3VvDubwSI3y7a
There's Nothing Holdin' Me Back | ['Shawn Mendes'] | spotify:track:7JJmb5XwzOO8jgpou264Ml
Thing Called Love | ['NF'] | spotify:track:239VFYzJLnwfZbh6Fz29wY
Trauma | ['NF'] | spotify:track:0cHAXbQfTlBIJrzIOW8kUv
My Universe | ['Coldplay', 'BTS'] | spotify:track:46HNZY1i7O6jwTA7Slo2PI
Ski | ['Young Stoner Life', 'Young Thug', 'Gunna'] | spotify:track:6755DFiZ7CWe2WMdTGW5C1
Infatuation | ['Takeoff'] | spotify:track:00I0pcNkN3IOX3fsYbaB4N
monster | ['21 Savage'] | spotify:track:2FUNBaa5DwItJtYEBgAblU
1400 / 999 Freestyle | ['Trippie Redd', 'Juice WRLD'] | spotify:track:75lcPkAkUsKWHGBlGM476R
New Patek | ['Lil Uzi Vert'] | spotify:track:0Fpen1PTuEnCmOJtUU9Iud
Adderall (Corvette Corvette) - Remix | ['Popp Hunna', 'Lil Uzi Vert'] | spotify:track:2Y3USTCETS4xbjJOzT1Icm
WHAT TO DO? (feat. Don Toliver) | ['JACKBOYS', 'Travis Scott', 'Don Toliver'] | spotify:track:4AO1XhrgJczQ9bNVxdfKQe
Solid (feat. Drake) | ['Young Stoner Life', 'Young Thug', 'Gunna', 'Drake'] | spotify:track:6rTInqW3YECMkQsBEHw4sd
The Woo (feat. 50 Cent & Roddy Ricch) | ['Pop Smoke', '50 Cent', 'Roddy Ricch'] | spotify:track:1H7KnK26kc1YyellpbINEn
DOLLAZ ON MY HEAD (feat. Young Thug) | ['Gunna', 'Young Thug'] | spotify:track:3nS9a01VvXHQriLqJYwRqG
Creepin' (with The Weeknd & 21 Savage) | ['Metro Boomin', 'The Weeknd', '21 Savage'] | spotify:track:2dHHgzDwk4BJdRwy9uXhTO
Funky Friday | ['Dave', 'Fredo'] | spotify:track:01IQ4aQgOf0Kkq3a273hmO
LET GO | ['Central Cee'] | spotify:track:3zkyus0njMCL6phZmNNEeN
Darkside | ['Vwillz'] | spotify:track:68eM2hKgDfuGTIqZN1UZap
Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke) | ['H.E.R.', 'A Boogie Wit da Hoodie', 'Chris Brown', 'Pop Smoke'] | spotify:track:6MO2bfLHKykUgCChFdw91H
Pretty Boy Swag | ['Soulja Boy'] | spotify:track:2zOWuWdyuMqOoboNRKlJO0
Not so bad at all | ['Termani'] | spotify:track:1OPKDR0alfhlzr1d7s33WI
Namek | ['Jul', 'Omah Lay'] | spotify:track:27axiMYaZu77nF45ogoTTy
2023 | ['Bazanji'] | spotify:track:43kle5TJFFAnmzzmPWjohK
POTUS | ['NEFFEX'] | spotify:track:2cYHAJSd2qEuRLuMFTz8al
Chirp | ['Connor Price', 'Hoodie Allen'] | spotify:track:3pzi58VskO2NzwqV75Vce3
Welcome To Brixton | ['SR'] | spotify:track:7kQUdVjev73xIuwu7W6YW9
Practice Makes Perfect | ['SR'] | spotify:track:4Qpa0WH8hUHtOJKSNPrGV7
Unbothered | ['Ski Mask The Slump God'] | spotify:track:5hwUsRKvnO5yThjVrxHQVt
6:30 | ['Russ Millions'] | spotify:track:0KzvY1XHsfvZ5p5sUcdHSN
See Me Fall - Y2K Remix | ['Ro Ransom', 'Y2K'] | spotify:track:5MLreTrtwv7fGyyAy0RyeB
Tell 'Em | ['Rah Swish'] | spotify:track:6aJET8iwVOtDHTdbQQ3maj
Daily Duppy, Pt. 1 | ['Kwengface'] | spotify:track:73rusSG4BflgMx84QD3X99
Show Out (with Skepta & Pop Smoke) | ['Kid Cudi', 'Skepta', 'Pop Smoke'] | spotify:track:5CFJRZRq6sdKKtRwNPWbYv
Beethoven | ['Kenndog'] | spotify:track:7rYCenkV4OXJgiUuKrhDCb
Je M'appelle (feat. Tion Wayne & French Montana) - Remix | ['Benzz', 'Tion Wayne', 'French Montana'] | spotify:track:203uVLn0YRikqOgI4axq8n
2019 | ['Bazanji'] | spotify:track:4DERbz1e89YD9VZt7or9GB
AP - Music from the film Boogie | ['Pop Smoke'] | spotify:track:17vGPZ5EsdvtgAOCD4FLWI
My All | ['Polo G'] | spotify:track:2UQ2oUbHiB8wWYCE42JX0k
GANG GANG (with Lil Wayne) | ['Polo G', 'Lil Wayne'] | spotify:track:0ezwvY7TkCwDEkKR49084k
Pose (Bonus Track) (feat. Lil Uzi Vert) | ['Yo Gotti', 'Lil Uzi Vert'] | spotify:track:30YtmOd4KaKObRrLgSp54P
34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix | ['Ariana Grande', 'Doja Cat', 'Megan Thee Stallion'] | spotify:track:2sQH02O2HBCPJCztBrCWNa
One Last Time | ['Ariana Grande'] | spotify:track:7xoUc6faLbCqZO6fQEYprd
Teenage Dream | ['Katy Perry'] | spotify:track:55qBw1900pZKfXJ6Q9A2Lc
Shape of You | ['Ed Sheeran'] | spotify:track:7qiZfU4dY1lWllzX7mPBI3
Made You Look | ['Meghan Trainor'] | spotify:track:0QHEIqNKsMoOY5urbzN48u
Bloody Mary | ['Lady Gaga'] | spotify:track:53jnnqFSRGMDB9ADrNriCA
As It Was | ['Harry Styles'] | spotify:track:4Dvkj6JhhA12EX05fT7y2e
Buddy | ['Connor Price', 'Hoodie Allen'] | spotify:track:5GZp8q9eZ9qn0TSwAayT1o
Deal Or No Deal (A1 x J1 feat. Mabel) | ['A1 x J1', 'Mabel'] | spotify:track:1PmhUHkS2kk0hTVwiZzBdj
Mad Love | ['Mabel'] | spotify:track:6ImEBuxsbuTowuHmg3Z2FO
Give Me a Kiss | ['Crash Adams'] | spotify:track:0OXdfW3Q6VJGpg1k5Ik1SW
